category_id,category_name,num_products,avg_num_ingredients,date_updated
1,Cleanser,95,22.778947368421054,2021-11-03 20:13:09.244062
2,Exfoliator,43,25.953488372093023,2021-11-03 20:13:09.357977
3,Peel,31,30.612903225806452,2021-11-03 20:13:09.441898
4,Toner,63,19.88888888888889,2021-11-03 20:13:09.611433
6,Serum,92,32.32608695652174,2021-11-03 20:13:09.920818
7,Mist,71,23.366197183098592,2021-11-03 20:13:10.242492
8,Mask,113,29.283185840707965,2021-11-03 20:13:10.587404
9,Moisturizer,100,33.02,2021-11-03 20:13:11.006593
10,Eye Care,93,32.38709677419355,2021-11-03 20:13:11.359240
11,Oil,22,13.363636363636363,2021-11-03 20:13:11.419928
13,Balm,20,30.55,2021-11-03 20:13:11.481410
